anrede;vorname;nachname;strasse;nr;plz;ort;kanton;sprachregion;nationaliät;sexcode;mobile_nr;vertrag_nr;konto_nr;auth_device
Frau;Maria;Fischer;Geissburghalde;22a;6130;Willisau;LU;de;Deutschland;w;+41797177639;25979;CH5300772364582188385;mtan
Herr;Andrea;Farei;Oberbernern;;6207;Nottwil;LU;de;Deutschland;m;+41798017366;29839;CH5300772621485327204;mtan
Herr;Martin;Meier;Grund;69;9405;Wienacht-Tobel;AR;de;Bosnien;m;+41798046734;41247;CH5300772978744259593;ptan
Frau;Monika;Huber;Sumpf;7;9037;Speicherschwendi;AR;de;Italien ;w;+41797604844;44180;CH5300772984635599942;mtan
Frau;Claudia;Müller;Langelenstrasse;39;9100;Herisau;AR;de;Kosovo;w;+41798335317;45021;CH5300772052971181827;ptan
Herr;Peter;Brügger;Untere Wiese;11;6020;Emmenbrücke;LU;de;Schweiz;m;+41798112182;25366;CH5300772762684939741;ptan
Herr;Hans;Stamm;Brugg;3;9043;Trogen;AR;de;Italien ;m;+41797332985;38905;CH5300772077741913083;ptan
Herr;Thomas;Gisler;Paradiesstrasse;28;9410;Heiden;AR;de;Frankreich;m;+41797103696;47723;CH5300772858652398355;ptan
Herr;Josef;Bättig;I der Sänti;14;6130;Willisau;LU;de;Deutschland;m;+41797772715;46237;CH5300772625788191117;ptan
Frau;Franziska;Meier;Herisauerstrasse;23;9107;Urnäsch;AR;de;Bosnien;w;+41797436274;46603;CH5300772409549338335;ptan
Frau;Anna;Theiler;Kirchstrasse;10;6146;Grossdietwil;LU;de;Deutschland;w;+41797242722;27340;CH5300772659061267013;ptan
Frau;Silvia;Righitto;Pezzolo nucleo;7;6960;Odogno;TI;it;Schweiz;w;+41798447506;35674;CH5300772105284795769;ptan
Herr;Peter;Müller;Herisauerstrasse;47;9107;Urnäsch;AR;de;Bosnien;m;+41798554892;33083;CH5300772260719870506;mtan
Herr;Paolo;Gander;Rank;;6156;Luthern;LU;de;Deutschland;m;+41798637995;30853;CH5300772357239846436;ptan
Herr;Daniel;Crisinel;Route d'Yverdon-les-Bains;156;1473;Font;FR;fr;Kroatien;m;+41797682188;30439;CH5300772793001403159;mtan
Herr;Adrian;Müller;La Liberté;968;6010;Kriens;LU;de;Schweiz;m;+41797495874;32334;CH5300772286538234967;mtan
Herr;Thomas;Barmet;Wissmatt;;6133;Hergiswil b. Willisau;LU;de;Deutschland;m;+41797825701;48371;CH5300772559757711312;ptan
Herr;Eric;Rochat;Route des Dailles;30;1752;Villars-sur-Glâne;FR;fr;Schweiz;m;+41798522426;23902;CH5300772753992642746;ptan
Frau;Valentina;Deck;Trüebebach;3;6170;Schüpfheim;LU;de;Deutschland;w;+41797593834;38423;CH5300772071962052662;ptan
Herr;Peter;Müller;Chli-Löö;;6142;Gettnau;LU;de;Deutschland;m;+41797678325;21852;CH5300772202929197387;ptan
Herr;Andreas;Bianchi;Oberdorfstrasse;6;6222;Gunzwil;LU;de;Italien ;m;+41798345194;41153;CH5300772843808404316;mtan
Herr;Thomas;Keusch;Kehlhofrain;14a;6043;Adligenswil;LU;de;Schweiz;m;+41797688116;47460;CH5300772339280832829;ptan
Frau;Rita;Schiesser;Gmeindli;274;9426;Lutzenberg;AR;de;Spanien;w;+41798135451;27271;CH5300772698367672179;ptan
Herr;Daniel;Heiniger;Feldweg;5;6022;Grosswangen;LU;de;Schweiz;m;+41797648895;32184;CH5300772545542258178;ptan
Herr;Rolf;Meier;Speicherstrasse;18;9053;Teufen AR;AR;de;Italien ;m;+41797793408;37011;CH5300772617915218359;ptan
Frau;Marianne;Cantieni;Lindenhof;1;6286;Altwis;LU;de;Italien ;w;+41797285021;38821;CH5300772102335528092;ptan
Frau;Marianne;Conrad;Gerligen;7;6275;Ballwil;LU;de;Italien ;w;+41798533673;39947;CH5300772845543679511;mtan
Frau;Sandra;Niederer;Hof;501;9103;Schwellbrunn;AR;de;Kosovo;w;+41798592494;45744;CH5300772087245696444;ptan
Herr;Stefano;Matasci;Krümpelhütte;1;6192;Wiggen;LU;de;Deutschland;m;+41797214767;40907;CH5300772162328807275;mtan
Herr;Peter;Müller;Sonnmatthalde;2;6043;Adligenswil;LU;de;Schweiz;m;+41798213979;21784;CH5300772768901294740;mtan
Frau;Marianne;Maffi;Kornfeld;6;6212;St. Erhard;LU;de;Deutschland;w;+41797956153;29426;CH5300772605809864319;ptan
Frau;Heidi;Zemp;Bergboden;1;6110;Wolhusen;LU;de;Deutschland;w;+41797264597;39994;CH5300772145882210656;ptan
Herr;Claudio;Rossi;Dägersteinstrasse;8;6210;Sursee;LU;de;Deutschland;m;+41797072912;20246;CH5300772577961242560;ptan
Frau;Monika;Maag;Oberstädeliweg;27;9038;Rehetobel;AR;de;Italien ;w;+41798322655;20209;CH5300772493081014939;ptan
Frau;Verena;Müller;Geissensteinring;50;6005;Luzern;LU;de;Schweiz;w;+41798765847;28611;CH5300772352485212653;mtan
Herr;Nicolas;Di Mare;Chemin Sur le Mont;5;1796;Courgevaux;FR;de;Frankreich;m;+41797167820;40054;CH5300772161047130720;ptan
Herr;Hans;Hunziker;Klusenstrasse;33;6043;Adligenswil;LU;de;Schweiz;m;+41797566801;41631;CH5300772158542368472;mtan
Frau;Monika;Keller;Sternmattstrasse;99;6005;Luzern;LU;de;Schweiz;w;+41798123499;36523;CH5300772689874339764;mtan
Frau;Anna;Mazzoni;Via Sottomontagna;38;6593;Cadenazzo;TI;it;Schweiz;w;+41797204441;26883;CH5300772641435391780;ptan
Herr;Hans;Ahmetaj;Wegmattstrasse;44;6048;Horw;LU;de;Deutschland;m;+41797497919;39248;CH5300772397840914742;ptan
Herr;Peter;Müller;Grossweidstrasse;3;6010;Kriens;LU;de;Schweiz;m;+41797644206;46127;CH5300772288275983558;ptan
Herr;Martin;Falett;Merkurstrasse;5;6280;Hochdorf;LU;de;Italien ;m;+41797126581;48931;CH5300772943505776718;ptan
Frau;Monika;Weber;Tüfi;969;9105;Schönengrund;AR;de;Bosnien;w;+41798608098;29302;CH5300772205353013895;ptan
Herr;Michael;Gasche;Gasshofstrasse;1;6014;Luzern;LU;de;Schweiz;m;+41798176205;44713;CH5300772275288843949;ptan
Frau;Barbara;Zimmermann;Halde;5;6016;Hellbühl;LU;de;Schweiz;w;+41798216710;48749;CH5300772927995509695;ptan
Frau;Claudia;Gianella;Via Noseda;3;6850;Mendrisio;TI;it;Italien;w;+41798567843;30463;CH5300772600124137776;mtan
Frau;Marie;Fischer;Rütliweid;3;6043;Adligenswil;LU;de;Schweiz;w;+41797742837;34025;CH5300772499539736404;mtan
Herr;Reto;Müller;Widspüelmatte;7;6043;Adligenswil;LU;de;Schweiz;m;+41798132639;45781;CH5300772441691148639;ptan
Frau;Monika;Foglia;Bognau;7;6216;Mauensee;LU;de;Italien ;w;+41798857776;36304;CH5300772595198507459;mtan
Frau;Ana;Perez;Buechmatta;5;1734;Tentlingen;FR;de;Schweiz;w;+41797548322;49135;CH5300772823212909220;ptan
Frau;Rita;Weber;Schützengasse;8;9410;Heiden;AR;de;Bosnien;w;+41797796994;27768;CH5300772801761933256;ptan
Herr;David;Rodrigues;Industriestrasse;49;1791;Courtaman;FR;de;Schweiz;m;+41797042776;25726;CH5300772652854980869;ptan
Herr;Peter;Hilber;Unter-Allenwinden;116;6010;Kriens;LU;de;Schweiz;m;+41797372019;24143;CH5300772936847470111;ptan
Herr;Max;Gabriel;Hintergasse;2;6248;Alberswil;LU;de;Italien ;m;+41797588005;43577;CH5300772134965776637;ptan
Frau;Silvia;Kalt;Blumenrain;2;6032;Emmen;LU;de;Schweiz;w;+41797703487;35862;CH5300772632701561100;ptan
Herr;Michael;Caplazi;Hengstweid;3;6280;Hochdorf;LU;de;Italien ;m;+41797402638;37777;CH5300772385103161894;ptan
Herr;Daniel;Jermann;Abendweg;24;6006;Luzern;LU;de;Schweiz;m;+41797928056;41478;CH5300772413346990406;ptan
Herr;Hans;Gasche;Waldstrasse;5;6015;Luzern;LU;de;Schweiz;m;+41798612609;40901;CH5300772522816564631;mtan
Herr;Daniel;Weber;Äckerli;849;9064;Hundwil;AR;de;Albanien;m;+41798327710;22342;CH5300772054494899215;ptan
Frau;Ursula;Roffler;Gishalden;3;6262;Langnau b. Reiden;LU;de;Italien ;w;+41798727378;20896;CH5300772372658768679;mtan
Herr;Walter;Santschi;Rain;25;5000;Aarau;AG;de;Schweiz;m;+41798977333;24827;CH5300772030500037462;mtan
Herr;Thomas;Candrian;Weinberg;7;6234;Triengen;LU;de;Italien ;m;+41797492043;33315;CH5300772681953047095;ptan
Herr;Daniel;Knupp;Spitalring;12;6110;Wolhusen;LU;de;Deutschland;m;+41797623737;20762;CH5300772790924615260;ptan
Frau;Andrea;Sandmeier;Moosmattstrasse;17;6045;Meggen;LU;de;Schweiz;w;+41798844174;44418;CH5300772372372310310;ptan
Frau;Claudia;Epiney;Reussmatt;15;6004;Luzern;LU;de;Schweiz;w;+41798076385;31942;CH5300772569563868144;ptan
Herr;Daniel;Buchs;Delfterstrasse;40;5004;Aarau;AG;de;Schweiz;m;+41797064190;34674;CH5300772846392583287;mtan
Herr;Roberto;Beffa;Piazza Pomée;1;6922;Morcote;TI;it;Schweiz;m;+41798966405;22766;CH5300772141951969667;ptan
Frau;Claudia;Gross;Schulweg;4;6285;Hitzkirch;LU;de;Italien ;w;+41797422868;41699;CH5300772077308136600;mtan
Frau;Daniela;Baumann;Im Bienz;27;6170;Schüpfheim;LU;de;Deutschland;w;+41797077253;31391;CH5300772652643563452;mtan
Herr;Michael;Müller;Blumenfeldstrasse;8;9410;Heiden;AR;de;Frankreich;m;+41797625742;24912;CH5300772101236277831;ptan
Herr;Marc;Gaillard;Berg;65;3185;Schmitten FR;FR;de;Schweiz;m;+41798622028;49290;CH5300772710156257060;ptan
Herr;Giovanni;Baumann;Schächlimatte;12;6170;Schüpfheim;LU;de;Deutschland;m;+41798792788;25757;CH5300772197298809238;ptan
Herr;Peter;Baumann;Ottigenbühlstrasse;60;6030;Ebikon;LU;de;Schweiz;m;+41798412531;32104;CH5300772503753121540;ptan
Frau;Erika;Forster;Waldeggstrasse;19;9100;Herisau;AR;de;Kosovo;w;+41797557083;29838;CH5300772747074490212;ptan
Frau;Rita;Kiser;Ober Luegeten;7;6102;Malters;LU;de;Deutschland;w;+41798215635;39702;CH5300772103968141851;ptan
Frau;Corinne;Schwarz;Schachenweidstrasse;121;6030;Ebikon;LU;de;Schweiz;w;+41797235414;31993;CH5300772463914620719;ptan
Herr;Thomas;Riner;Gääli;12;6026;Rain;LU;de;Schweiz;m;+41797496475;35702;CH5300772989159937765;mtan
Frau;Sabrina;Rezzoli;Mettmenstrasse;16;6288;Schongau;LU;de;Italien ;w;+41798625057;40819;CH5300772371898624256;mtan
Herr;Marco;Müller;Mitledi;120;9064;Hundwil;AR;de;Albanien;m;+41797305502;26468;CH5300772824088775089;ptan
Frau;Brigitte;Meier;Pilatusring;30;6023;Rothenburg;LU;de;Schweiz;w;+41797614732;36111;CH5300772538646111963;mtan
Frau;Maria;Michel;Kirchbergstrasse;76;5023;Biberstein;AG;de;Schweiz;w;+41798053950;47056;CH5300772631684704858;ptan
Frau;Maria;Ott;Unterdorf;4;9044;Wald AR;AR;de;Italien ;w;+41798198267;48081;CH5300772223779511824;ptan
Herr;Gion;Crivelli;Büntenstrasse;25;6218;Ettiswil;LU;de;Italien ;m;+41798667322;49535;CH5300772665086258728;ptan
Herr;Alexandre;Lavergnat;Route de Botterens;97a;1652;Botterens;FR;fr;Frankreich;m;+41798472201;37213;CH5300772926737032296;ptan
Frau;Elisabeth;Antoniazza;Route de Rougemont;78;1286;Soral;GE;fr;Schweiz;w;+41798806526;34809;CH5300772459192226044;ptan
Frau;Sandra;Meier;Mühlehofstrasse;15;6030;Ebikon;LU;de;Schweiz;w;+41798518080;30460;CH5300772275156320577;ptan
Herr;Michael;Kreis;Werdenweg;4;9053;Teufen AR;AR;de;Italien ;m;+41798537533;45681;CH5300772786494989119;ptan
Herr;Daniel;Bächler;Kilbigstrasse;19;5018;Erlinsbach;AG;de;Schweiz;m;+41797444681;21017;CH5300772527510046280;ptan
Frau;Anna;Meier;Luzernerstrasse;84;6043;Adligenswil;LU;de;Schweiz;w;+41798975775;40196;CH5300772423545107774;mtan
Herr;Peter;Bamberger;Blumenau;;6036;Dierikon;LU;de;Schweiz;m;+41798494688;40105;CH5300772277294259251;ptan
Herr;Michel;Frayling;Chemin de l'Abbé-Freeley;14;1700;Fribourg;FR;fr;Schweiz;m;+41798216199;44533;CH5300772142632061035;mtan
Herr;Andreas;In;Obergütschhalde;10;6003;Luzern;LU;de;Schweiz;m;+41798157855;35443;CH5300772633239277629;mtan
Herr;Michel;Leresche;Ebnet;47;1736;St. Silvester;FR;de;Bosnien;m;+41798667510;43639;CH5300772797786800861;ptan
Herr;Luca;Aimi;Via Ceresio;35;6826;Riva San Vitale;TI;it;Schweiz;m;+41798892736;44980;CH5300772975569038533;ptan
Herr;Paul;Widmer;Schulhausstrasse;6;6235;Winikon;LU;de;Italien ;m;+41798508356;45902;CH5300772596905974888;ptan
Herr;Luca;Odermatt;Wald;4;6153;Ufhusen;LU;de;Deutschland;m;+41797562948;44643;CH5300772482975982957;ptan
Herr;Patrick;Isaaz;Pfrundweg;3;3186;Düdingen;FR;de;Schweiz;m;+41798166991;39800;CH5300772329822190769;mtan
Frau;Maria;Schär;Schulhausstrasse;3;6022;Grosswangen;LU;de;Schweiz;w;+41798535866;37839;CH5300772011087320669;ptan
Herr;Karl;Hartmann;Zenzenhof;1;6143;Ohmstal;LU;de;Deutschland;m;+41798085328;30306;CH5300772612436458933;mtan
Herr;Pierre;Da Silva;Route de l'Aéroport;29;1215;Genève 15 Aéroport;GE;fr;Schweiz;m;+41797632176;36226;CH5300772011678706666;mtan
Frau;Brigitte;Buser;Haslimattstrasse;5a;6010;Kriens;LU;de;Schweiz;w;+41798082807;41865;CH5300772478984275054;ptan
Herr;Thomas;Meier;Bündtstrasse;20b;9053;Teufen AR;AR;de;Italien ;m;+41797413243;31759;CH5300772022336366259;ptan
Frau;Susanne;Baltensperger;Schützenbergstrasse;21;9053;Teufen AR;AR;de;Italien ;w;+41798032633;28197;CH5300772885364114557;ptan
Herr;Patrick;Pasche;Chemin de la Maula;39;1680;Romont FR;FR;fr;Schweiz;m;+41798197835;35873;CH5300772307015667422;ptan
Frau;Susanne;Meier;Rigistrasse;223b;6353;Weggis;LU;de;Italien ;w;+41798456363;20717;CH5300772440769851498;ptan
Herr;Philipp;Müller;Hochrütistrasse;17;6005;Luzern;LU;de;Schweiz;m;+41798993053;42924;CH5300772108309076930;ptan
Frau;Claudia;Burch;Schachenstrasse;10;6102;Malters;LU;de;Deutschland;w;+41798576893;23783;CH5300772623489944663;ptan
Herr;Jon;Sestito;Schötzerstrasse;1;6248;Alberswil;LU;de;Italien ;m;+41798577199;29048;CH5300772815834975168;mtan
Herr;Andreas;Beeli;Eiholdern;4;6280;Urswil;LU;de;Italien ;m;+41798023959;44118;CH5300772739092551504;mtan
Herr;Marco;Leoni;Ni Sciücch;4;6763;Osco;TI;it;Schweiz;m;+41798922429;31662;CH5300772774670752627;ptan
Herr;Luca;Vanoni;Willistattstrasse;17;6206;Neuenkirch;LU;de;Deutschland;m;+41797857173;24983;CH5300772163844308844;ptan
Frau;Carole;Chezeaux;Chemin du Trappeur;40;1255;Veyrier;GE;fr;Italien;w;+41798797917;38805;CH5300772232289120639;ptan
Herr;Luca;Gianetta;Via al Ticino;;6516;Cugnasco;TI;it;Italien;m;+41797065415;48205;CH5300772932995519580;ptan
Herr;Urs;Weber;Stöcklen;17a;6344;Meierskappel;LU;de;Italien ;m;+41798368783;20302;CH5300772320709443939;mtan
Frau;Maria;Mani;Pestalozzistrasse;25;5000;Aarau;AG;de;Schweiz;w;+41798615481;48211;CH5300772098700400348;ptan
Frau;Susanne;Berger;St. Gallerstrasse;71a;9100;Herisau;AR;de;Albanien;w;+41797553077;41881;CH5300772612672033152;mtan
Herr;Albert;Huber;Högli;665;9427;Wolfhalden;AR;de;Spanien;m;+41798405449;37532;CH5300772050709938078;mtan
Herr;Luca;Tonini;Haldenstrasse;2;6205;Eich;LU;de;Deutschland;m;+41798076798;22543;CH5300772184414380605;ptan
Herr;Peter;Suter;Rigistrasse;4;6023;Rothenburg;LU;de;Schweiz;m;+41798746948;26013;CH5300772898714476507;ptan
Frau;Ruth;Schneider;Mühlerain;18;6010;Kriens;LU;de;Schweiz;w;+41797733522;23909;CH5300772804730329408;ptan
Frau;Maria;Quadri;Rothmättli;10;6218;Ettiswil;LU;de;Italien ;w;+41797406520;38997;CH5300772988630694005;ptan
Herr;Marco;Ferrari;Surengrundstrasse;1;6208;Oberkirch LU;LU;de;Deutschland;m;+41798993223;34185;CH5300772058458905670;mtan
Frau;Barbara;Kramer;Rösslistrasse;20a;9056;Gais;AR;de;Albanien;w;+41798506431;38359;CH5300772957431390470;ptan
Frau;Giuseppina;Pellandini;Via Monte Ceneri;6.1;6512;Giubiasco;TI;it;Spanien;w;+41798554258;24041;CH5300772643331973960;mtan
Herr;Manuel;Magnenat;Rue de la Bonne-Eau;17;1623;Semsales;FR;fr;Italien;m;+41797778715;48214;CH5300772989121600166;mtan
Herr;Christian;Waser;Gfellen;35;6162;Finsterwald b. Entlebuch;LU;de;Deutschland;m;+41797517668;42120;CH5300772045684402335;ptan
Herr;Markus;Schmid;Ligschwilring;17;6280;Urswil;LU;de;Italien ;m;+41797538968;35583;CH5300772225469827712;ptan
Frau;Sandra;Capeder;Lindenbergstrasse;2;6280;Hochdorf;LU;de;Italien ;w;+41797375431;38321;CH5300772998917123291;ptan
Herr;Andrea;Bühler;Erpolingenweg;1;6147;Altbüron;LU;de;Deutschland;m;+41798332288;47613;CH5300772446679076120;ptan
Frau;Barbara;Sätteli;Rütihofstrasse;6b;9052;Niederteufen;AR;de;Italien ;w;+41797766722;47285;CH5300772880573027537;ptan
Herr;Luca;Balzarini;Hans Schallerstrasse;23;6174;Sörenberg;LU;de;Deutschland;m;+41798362752;23943;CH5300772354373995090;ptan
Herr;Christian;Tschanz;Aarestrasse;65;5000;Aarau;AG;de;Schweiz;m;+41798962106;37325;CH5300772994796640002;ptan
Herr;Martin;Weber;Rotenwies;23;9056;Gais;AR;de;Albanien;m;+41797525982;29557;CH5300772629462412414;mtan
Herr;Manuel;Bernasconi;Oberdorf;25;6215;Beromünster;LU;de;Italien ;m;+41797137638;27956;CH5300772572656694441;mtan
Herr;Thomas;Neuse;Sternegg;11;6005;Luzern;LU;de;Schweiz;m;+41798806783;47828;CH5300772519884699634;ptan
Herr;Andreas;Heller;Unterdorf;31;9042;Speicher;AR;de;Italien ;m;+41798276229;33366;CH5300772739334160899;mtan
Frau;Monika;Affentranger;Unterturm;1;6110;Wolhusen;LU;de;Deutschland;w;+41797065929;31602;CH5300772541040763930;ptan
Frau;Monica;Rosa;Lehn;35;6182;Escholzmatt;LU;de;Deutschland;w;+41797785198;23431;CH5300772642306435568;ptan
Herr;Peter;Schmidli;Unter-Schwendi;1;6114;Steinhuserberg;LU;de;Deutschland;m;+41797474822;29961;CH5300772817329618188;ptan
Herr;André;Imhof;Bühlstrasse;6;5033;Buchs AG;AG;de;Schweiz;m;+41798346512;29658;CH5300772630494519192;ptan
Frau;Sophie;Spierer;Plan-de-Chany;4;1564;Domdidier;FR;fr;Frankreich;w;+41798904079;36063;CH5300772858640391320;ptan
Frau;Margrit;Krasniqi;Höchweidstrasse;18;6030;Ebikon;LU;de;Schweiz;w;+41798344433;38584;CH5300772096389748889;ptan
Herr;Thomas;Müller;Würzenrain;11;6013;Eigenthal;LU;de;Schweiz;m;+41797464526;41811;CH5300772343016923597;ptan
Frau;Sonja;Frei;Mühlegg;17;6030;Ebikon;LU;de;Schweiz;w;+41797367871;48161;CH5300772097197349083;ptan
Frau;Beatrice;Müller;Poststrasse;33;9410;Heiden;AR;de;Bosnien;w;+41797247677;36981;CH5300772503074896553;mtan
Herr;Daniel;Decasper;Sennweidstrasse;4d;6276;Hohenrain;LU;de;Italien ;m;+41797375837;43674;CH5300772642831855858;ptan
Herr;Roberto;Fernandes;Via Tamporiva;3;6948;Porza;TI;it;Albanien;m;+41797482399;23603;CH5300772359230082073;mtan
Herr;Martin;Guthauser;Würzenbachstrasse;52;6006;Luzern;LU;de;Schweiz;m;+41798597478;27149;CH5300772044783895018;mtan
Frau;Chiara;Garbani Nerini;Bachmatte;1;6196;Marbach LU;LU;de;Deutschland;w;+41797913169;41581;CH5300772273948933214;ptan
Herr;Meinrad;Müller;Ettenberg;244;9103;Schwellbrunn;AR;de;Kosovo;m;+41798866164;38782;CH5300772340543736225;ptan
Frau;Claudia;Weber;Tanne;374;9427;Wolfhalden;AR;de;Spanien;w;+41797145903;34535;CH5300772951041044701;ptan
Frau;Sandra;Steiner;Alteggweg;2a;6045;Meggen;LU;de;Schweiz;w;+41798388427;49202;CH5300772216544025131;ptan
Herr;Philippe;Cornu;Chemin des Artisans;2;1630;Bulle;FR;fr;Kroatien;m;+41798413743;31212;CH5300772323645287901;mtan
Frau;Anita;Müller;Ängelwart;3;6018;Buttisholz;LU;de;Schweiz;w;+41798603450;49152;CH5300772389870747566;ptan
Herr;Vincent;Linder;Route du Lavoir;10;1287;Laconnex;GE;fr;Bosnien;m;+41798488861;38011;CH5300772491899785079;ptan
Frau;Cristina;Conti;Hofrainstrasse;12;6205;Eich;LU;de;Deutschland;w;+41798957095;38359;CH5300772971405848914;ptan
Herr;Andreas;Brandenberger;Hinterdorf;16;9056;Gais;AR;de;Albanien;m;+41797805691;36829;CH5300772032220495061;ptan
Herr;Christian;Taddei;Erlose;2;6222;Gunzwil;LU;de;Italien ;m;+41798277239;33495;CH5300772464130321535;ptan
Frau;Nadia;Steinmann;Sonnenrain;2;6133;Hergiswil b. Willisau;LU;de;Deutschland;w;+41797274283;34732;CH5300772174783861156;mtan
Herr;Michael;Meister;Löchli;1;9043;Trogen;AR;de;Italien ;m;+41797964088;35199;CH5300772911785758292;ptan
Frau;Ruth;Casanova;Allmendstrasse;41;6248;Alberswil;LU;de;Italien ;w;+41797545501;26261;CH5300772516377963185;mtan
Frau;Ursula;Wüthrich;Innerdorf;7;6022;Grosswangen;LU;de;Schweiz;w;+41797794268;27443;CH5300772847651626126;mtan
Herr;Peter;Kreis;Glatt;525;9103;Schwellbrunn;AR;de;Kosovo;m;+41798672993;49519;CH5300772885023989258;ptan
Frau;Sandra;Keller;Bridenhaus;879;9053;Teufen AR;AR;de;Italien ;w;+41797402889;32209;CH5300772739233898170;ptan
Frau;Ursula;Bardill;Landhaus Hubel;;6260;Reiden;LU;de;Italien ;w;+41798312511;39698;CH5300772892090048642;ptan
Herr;Daniel;Müller;Hiltenberg;1;6110;Wolhusen;LU;de;Deutschland;m;+41797245207;46423;CH5300772096832203021;ptan
Herr;Nicolas;Cerutti;Route du Moléson;58;1663;Pringy;FR;fr;Schweiz;m;+41798762768;45441;CH5300772033523390006;mtan
Herr;Martin;Savioz;Trüllhofstrasse;8;6004;Luzern;LU;de;Schweiz;m;+41797442565;31133;CH5300772720866765373;ptan
Herr;Andreas;Schneider;Rigiweg;9;6030;Ebikon;LU;de;Schweiz;m;+41798534475;22320;CH5300772423958689650;mtan
Frau;Christine;Laurent;Chemin de la Nonnette;6;1292;Chambésy;GE;fr;Schweiz;w;+41797527027;40613;CH5300772560852173552;mtan
Herr;Andreas;Frei;Alpsteinstrasse;4a;9100;Herisau;AR;de;Kosovo;m;+41797837215;34039;CH5300772974192223956;ptan
Frau;Manuela;Koch;Sackhofstrasse;7;6043;Adligenswil;LU;de;Schweiz;w;+41798307485;34118;CH5300772370180409425;ptan
Frau;Claudia;Durisch;Sempachstrasse;23;6280;Hochdorf;LU;de;Italien ;w;+41798545037;20134;CH5300772045467039331;ptan
Frau;Ruth;Schmid;Spitz;148;9044;Wald AR;AR;de;Italien ;w;+41798965827;44049;CH5300772617740469935;ptan
Frau;Andrea;Müller;Oberdorfstrasse;71;9100;Herisau;AR;de;Albanien;w;+41797296022;28281;CH5300772106193778669;ptan
Herr;Andreas;Voegtli;Hubelrain;19;6005;Luzern;LU;de;Schweiz;m;+41797598360;23175;CH5300772568997663308;ptan
Frau;Maria;Müller;Widspüelmatte;1;6043;Adligenswil;LU;de;Schweiz;w;+41798915605;26485;CH5300772374201715955;ptan
Herr;Daniel;Keller;Aeschenthürlistrasse;35;6030;Ebikon;LU;de;Schweiz;m;+41798368069;35207;CH5300772528243741651;mtan
Herr;Andreas;Lepori;Sonnenrain;1;6221;Rickenbach LU;LU;de;Italien ;m;+41797885553;24561;CH5300772844718128548;mtan
Herr;Martin;Müller;Bachhaldenrain;9;6144;Zell LU;LU;de;Deutschland;m;+41797678629;33365;CH5300772800737557038;ptan
Herr;Ernst;Ritz;Neustechenrain;2;6016;Hellbühl;LU;de;Schweiz;m;+41797745768;49541;CH5300772796793905820;mtan
Herr;Nicolas;Cretegny;Chemin du Closin;6;1666;Villars-sous-Mont;FR;fr;Schweiz;m;+41797174149;49373;CH5300772855631523441;ptan
Herr;Hans;Kiser;Weidhüsli;1;6102;Malters;LU;de;Deutschland;m;+41798857154;41894;CH5300772197089699317;ptan
Frau;Sara;Sussegan;Wissenbach;1;6196;Marbach LU;LU;de;Deutschland;w;+41797257267;32140;CH5300772049008359643;ptan
Herr;Martin;Müller;Schürstrasse;46;6020;Emmenbrücke;LU;de;Schweiz;m;+41797607714;32536;CH5300772241402033066;ptan
Herr;Daniel;Bossi;Feldstrasse;15;6280;Hochdorf;LU;de;Italien ;m;+41798868906;43049;CH5300772126277737844;ptan
Frau;Maria;Inderbitzin;Obermatt;;6163;Ebnet;LU;de;Deutschland;w;+41797703997;46748;CH5300772630935841204;ptan
Frau;Elena;Baldassari;Hans Schallerstrasse;5;6174;Sörenberg;LU;de;Deutschland;w;+41797712515;38338;CH5300772313680225203;ptan
Frau;Ursula;Meier;Rütlimatte;5;6043;Adligenswil;LU;de;Schweiz;w;+41797655516;42018;CH5300772527792531719;ptan
Herr;Mauro;Meier;Bahnhofstrasse;11;6203;Sempach Station;LU;de;Deutschland;m;+41798717262;41496;CH5300772729334842371;mtan
Frau;Karin;Widmer;Ottigenbühlstrasse;44;6030;Ebikon;LU;de;Schweiz;w;+41798026960;41472;CH5300772113781159724;ptan
Herr;Peter;Müller;Egg;926;9053;Teufen AR;AR;de;Italien ;m;+41797036278;36153;CH5300772664748564790;mtan
Herr;Thomas;Lampert;Hubelstrasse;10;6265;Roggliswil;LU;de;Italien ;m;+41798182892;29791;CH5300772241737256072;mtan
Frau;Maria;Edelmann;Geisshaldenstrasse;36;9104;Waldstatt;AR;de;Kosovo;w;+41798224345;27916;CH5300772752512673823;ptan
Herr;Michael;Golaj;Wehristrasse;10;6032;Emmen;LU;de;Schweiz;m;+41797965686;26443;CH5300772868471519553;ptan
Frau;Patrizia;Grassi;Via Carabella;25;6582;Pianezzo;TI;it;Schweiz;w;+41798797254;46030;CH5300772015096284954;ptan
Herr;Jean;Reymond;Chemin de la Lécherette;20a;1233;Bernex;GE;fr;Frankreich;m;+41798182451;48449;CH5300772692234248436;ptan
Frau;Manuela;Tschenett;Seminarstrasse;6;6285;Hitzkirch;LU;de;Italien ;w;+41798715922;30405;CH5300772182818816533;mtan
Frau;Erika;Hiltebrand;Haldenstrasse;18;9042;Speicher;AR;de;Italien ;w;+41797496043;34373;CH5300772630735777666;ptan
Herr;Giovanni;Jelmini;Via Carona;6;6912;Pazzallo;TI;it;Albanien;m;+41798906145;30560;CH5300772764193699611;mtan
Herr;Marcel;Ambühl;Bellevuestrasse;37;6280;Hochdorf;LU;de;Italien ;m;+41798945691;28531;CH5300772969384090444;mtan
